goos: windows
goarch: amd64
pkg: github.com/gabrielxsuarez/go-firebird-driver
cpu: Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz
BenchmarkPing-8             	   15912	     88124 ns/op	       0 B/op	       0 allocs/op
BenchmarkPing-8             	   11694	    106496 ns/op	       0 B/op	       0 allocs/op
BenchmarkPing-8             	   10132	    100600 ns/op	       0 B/op	       0 allocs/op
BenchmarkPing-8             	    9946	    108138 ns/op	       0 B/op	       0 allocs/op
BenchmarkPing-8             	    9818	    105480 ns/op	       0 B/op	       0 allocs/op
BenchmarkPing-8             	   11511	    102592 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuerySingleRow-8   	    2151	    502255 ns/op	     960 B/op	       8 allocs/op
BenchmarkQuerySingleRow-8   	    2332	    524387 ns/op	     960 B/op	       8 allocs/op
BenchmarkQuerySingleRow-8   	    2133	    506313 ns/op	     960 B/op	       8 allocs/op
BenchmarkQuerySingleRow-8   	    2282	    506545 ns/op	     960 B/op	       8 allocs/op
BenchmarkQuerySingleRow-8   	    2265	    503525 ns/op	     960 B/op	       8 allocs/op
BenchmarkQuerySingleRow-8   	    2384	    503872 ns/op	     960 B/op	       8 allocs/op
BenchmarkExecInsert-8       	    1317	    817016 ns/op	     373 B/op	       8 allocs/op
BenchmarkExecInsert-8       	     765	   1580672 ns/op	     371 B/op	       8 allocs/op
BenchmarkExecInsert-8       	    1066	   1158948 ns/op	     372 B/op	       8 allocs/op
BenchmarkExecInsert-8       	    1004	   1120165 ns/op	     372 B/op	       8 allocs/op
BenchmarkExecInsert-8       	     931	   1206623 ns/op	     372 B/op	       8 allocs/op
BenchmarkExecInsert-8       	     692	   1718527 ns/op	     370 B/op	       8 allocs/op
BenchmarkPreparedExec-8     	    1717	    647754 ns/op	     181 B/op	       7 allocs/op
BenchmarkPreparedExec-8     	    1370	    763569 ns/op	     181 B/op	       7 allocs/op
BenchmarkPreparedExec-8     	    1706	    662235 ns/op	     181 B/op	       7 allocs/op
BenchmarkPreparedExec-8     	     956	   1195494 ns/op	     180 B/op	       7 allocs/op
BenchmarkPreparedExec-8     	    1672	    859924 ns/op	     181 B/op	       7 allocs/op
BenchmarkPreparedExec-8     	    1810	    658291 ns/op	     182 B/op	       7 allocs/op
BenchmarkQueryManyRows-8    	     171	   7761802 ns/op	  114358 B/op	    7627 allocs/op
BenchmarkQueryManyRows-8    	     153	   7592935 ns/op	  114365 B/op	    7627 allocs/op
BenchmarkQueryManyRows-8    	     160	   7062771 ns/op	  114363 B/op	    7627 allocs/op
BenchmarkQueryManyRows-8    	     154	   7817101 ns/op	  114365 B/op	    7627 allocs/op
BenchmarkQueryManyRows-8    	     146	   6974375 ns/op	  114369 B/op	    7627 allocs/op
BenchmarkQueryManyRows-8    	     146	   6868731 ns/op	  114367 B/op	    7627 allocs/op
PASS
ok  	github.com/gabrielxsuarez/go-firebird-driver	89.166s
