goos: windows
goarch: amd64
pkg: github.com/gabrielxsuarez/go-firebird-driver/internal/charset
cpu: Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz
BenchmarkDecodeUTF8Direct-8       	38444410	        29.92 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeUTF8Direct-8       	38338167	        31.43 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeUTF8Direct-8       	35952362	        61.98 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeUTF8Direct-8       	20583189	        58.28 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeUTF8Direct-8       	20124030	        59.07 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeUTF8Direct-8       	20715334	        58.20 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeUTF8Direct-8       	20746734	        59.13 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeUTF8Direct-8       	21751464	        57.62 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeUTF8Direct-8       	21451669	        61.74 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeUTF8Direct-8       	18642456	        58.35 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeISO88591ASCII-8    	14072466	        77.22 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeISO88591ASCII-8    	14943903	        77.12 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeISO88591ASCII-8    	13895370	        78.73 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeISO88591ASCII-8    	16021360	        76.84 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeISO88591ASCII-8    	15405788	        77.97 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeISO88591ASCII-8    	15711123	        78.09 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeISO88591ASCII-8    	16056002	        77.07 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeISO88591ASCII-8    	16253752	        77.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeISO88591ASCII-8    	14146538	        77.00 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeISO88591ASCII-8    	14768830	        78.20 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeISO88591Latin1-8   	 8721234	       145.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeISO88591Latin1-8   	 8047970	       146.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeISO88591Latin1-8   	 8299219	       142.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecodeISO88591Latin1-8   	 7919814	       149.2 ns/op	      16 B/op	       1 allocs/op
