goos: windows
goarch: amd64
pkg: github.com/gabrielxsuarez/go-firebird-driver/wire
cpu: Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz
BenchmarkToString_String-8                  	497110956	         3.279 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-8                  	436739390	         6.278 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-8                  	168414669	         6.771 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-8                  	178342502	         6.413 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-8                  	187172389	         6.448 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-8                  	184863015	         6.425 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-8                  	185350798	         6.535 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-8                  	186986254	         6.530 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-8                  	184066328	         6.444 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_String-8                  	184299325	         6.422 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_Int64-8                   	11482308	       101.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Int64-8                   	12086331	       101.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Int64-8                   	11859136	        99.67 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Int64-8                   	12032776	       100.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Int64-8                   	12693616	        99.27 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Int64-8                   	11937589	        99.85 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Int64-8                   	11275725	       102.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Int64-8                   	12019338	       101.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Int64-8                   	11302776	       102.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Int64-8                   	11814639	       107.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Int-8                     	96536743	        11.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_Int-8                     	99267078	        11.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_Int-8                     	100000000	        11.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_Int-8                     	106878416	        11.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_Int-8                     	100000000	        11.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_Int-8                     	100000000	        11.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_Int-8                     	100000000	        11.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_Int-8                     	100000000	        12.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_Int-8                     	100000000	        11.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_Int-8                     	100000000	        11.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkToString_Float64-8                 	 5598296	       230.8 ns/op	       8 B/op	       1 allocs/op
BenchmarkToString_Float64-8                 	 5505604	       201.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkToString_Float64-8                 	 5568532	       208.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkToString_Float64-8                 	 5747194	       211.7 ns/op	       8 B/op	       1 allocs/op
BenchmarkToString_Float64-8                 	 5708905	       213.3 ns/op	       8 B/op	       1 allocs/op
BenchmarkToString_Float64-8                 	 5759304	       211.9 ns/op	       8 B/op	       1 allocs/op
BenchmarkToString_Float64-8                 	 5507168	       214.1 ns/op	       8 B/op	       1 allocs/op
BenchmarkToString_Float64-8                 	 5736704	       213.0 ns/op	       8 B/op	       1 allocs/op
BenchmarkToString_Float64-8                 	 5659834	       213.0 ns/op	       8 B/op	       1 allocs/op
BenchmarkToString_Float64-8                 	 5760258	       208.7 ns/op	       8 B/op	       1 allocs/op
BenchmarkToString_Uint64-8                  	12421870	        97.05 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Uint64-8                  	12403908	        95.72 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Uint64-8                  	12255252	        95.68 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Uint64-8                  	11160205	        97.93 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Uint64-8                  	12441188	        96.45 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Uint64-8                  	12297614	        95.36 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Uint64-8                  	12642610	        95.96 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Uint64-8                  	13237303	        96.00 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Uint64-8                  	12003624	        95.23 ns/op	      16 B/op	       1 allocs/op
BenchmarkToString_Uint64-8                  	12484914	        94.06 ns/op	      16 B/op	       1 allocs/op
BenchmarkEstimateValueSize_Int-8            	197520556	         6.008 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_Int-8            	238275504	         6.128 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_Int-8            	193359922	         6.038 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_Int-8            	199668549	         5.973 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_Int-8            	199108887	         6.101 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_Int-8            	198461263	         6.016 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_Int-8            	198908324	         6.261 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_Int-8            	192689365	         6.322 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_Int-8            	229221062	         6.154 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_Int-8            	200580478	         6.049 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_String-8         	138923313	         8.744 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_String-8         	139792149	         8.689 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_String-8         	136269129	         8.920 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_String-8         	137228000	         9.171 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_String-8         	137812341	         8.671 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_String-8         	131962172	         8.617 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_String-8         	137219684	         8.643 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_String-8         	139679012	         8.641 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_String-8         	138522429	         9.476 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_String-8         	136101115	         8.674 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_VaryingFloat-8   	166649931	         7.147 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_VaryingFloat-8   	160356247	         7.211 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_VaryingFloat-8   	165440613	         7.306 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_VaryingFloat-8   	166642040	         7.408 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_VaryingFloat-8   	180036231	         7.582 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_VaryingFloat-8   	166542638	         7.283 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_VaryingFloat-8   	166193108	         7.197 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_VaryingFloat-8   	164923425	         7.738 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_VaryingFloat-8   	159367120	         7.113 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimateValueSize_VaryingFloat-8   	163793276	         7.765 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_3-8                    	1000000000	         0.7341 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_3-8                    	1000000000	         0.7305 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_3-8                    	1000000000	         0.7298 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_3-8                    	1000000000	         0.7501 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_3-8                    	1000000000	         0.7311 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_3-8                    	1000000000	         0.7419 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_3-8                    	1000000000	         0.6917 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_3-8                    	1000000000	         0.7348 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_3-8                    	1000000000	         0.7439 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_3-8                    	1000000000	         0.7310 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_10-8                   	1000000000	         0.7366 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_10-8                   	1000000000	         0.7348 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_10-8                   	1000000000	         0.7367 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_10-8                   	1000000000	         0.7410 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_10-8                   	1000000000	         0.4178 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_10-8                   	1000000000	         0.7427 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_10-8                   	1000000000	         0.7404 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_10-8                   	1000000000	         0.7368 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_10-8                   	1000000000	         0.7484 ns/op	       0 B/op	       0 allocs/op
BenchmarkRepeatZeros_10-8                   	1000000000	         0.7356 ns/op	       0 B/op	       0 allocs/op
BenchmarkScaledInt64_Simple-8               	 6798134	       173.4 ns/op	      16 B/op	       2 allocs/op
BenchmarkScaledInt64_Simple-8               	 6654063	       168.8 ns/op	      16 B/op	       2 allocs/op
BenchmarkScaledInt64_Simple-8               	 7135737	       170.5 ns/op	      16 B/op	       2 allocs/op
BenchmarkScaledInt64_Simple-8               	 7096198	       168.5 ns/op	      16 B/op	       2 allocs/op
BenchmarkScaledInt64_Simple-8               	 7064865	       168.4 ns/op	      16 B/op	       2 allocs/op
BenchmarkScaledInt64_Simple-8               	 7336684	       167.0 ns/op	      16 B/op	       2 allocs/op
BenchmarkScaledInt64_Simple-8               	 7151212	       169.3 ns/op	      16 B/op	       2 allocs/op
BenchmarkScaledInt64_Simple-8               	 7085330	       169.1 ns/op	      16 B/op	       2 allocs/op
BenchmarkScaledInt64_Simple-8               	 7260963	       169.3 ns/op	      16 B/op	       2 allocs/op
BenchmarkScaledInt64_Simple-8               	 6958578	       168.2 ns/op	      16 B/op	       2 allocs/op
BenchmarkScaledInt64_LeadingZeros-8         	11453266	       105.9 ns/op	       5 B/op	       1 allocs/op
BenchmarkScaledInt64_LeadingZeros-8         	11468338	       104.0 ns/op	       5 B/op	       1 allocs/op
BenchmarkScaledInt64_LeadingZeros-8         	11531996	       107.4 ns/op	       5 B/op	       1 allocs/op
BenchmarkScaledInt64_LeadingZeros-8         	10837268	       104.1 ns/op	       5 B/op	       1 allocs/op
BenchmarkScaledInt64_LeadingZeros-8         	11412842	       106.8 ns/op	       5 B/op	       1 allocs/op
BenchmarkScaledInt64_LeadingZeros-8         	11566699	       104.5 ns/op	       5 B/op	       1 allocs/op
BenchmarkScaledInt64_LeadingZeros-8         	11196399	       110.8 ns/op	       5 B/op	       1 allocs/op
BenchmarkScaledInt64_LeadingZeros-8         	10716160	       104.6 ns/op	       5 B/op	       1 allocs/op
BenchmarkScaledInt64_LeadingZeros-8         	10993722	       105.2 ns/op	       5 B/op	       1 allocs/op
BenchmarkScaledInt64_LeadingZeros-8         	11421750	       104.8 ns/op	       5 B/op	       1 allocs/op
BenchmarkEncodeParamsOptimal_3Ints-8        	 4969532	       233.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_3Ints-8        	 5160715	       235.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_3Ints-8        	 5242383	       236.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_3Ints-8        	 5028686	       241.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_3Ints-8        	 5103132	       234.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_3Ints-8        	 5030088	       234.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_3Ints-8        	 5221513	       235.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_3Ints-8        	 5099758	       235.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_3Ints-8        	 5013980	       241.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_3Ints-8        	 5141486	       233.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_MixedTypes-8   	 3810889	       310.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_MixedTypes-8   	 3958545	       308.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_MixedTypes-8   	 3323407	       315.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_MixedTypes-8   	 4776212	       261.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_MixedTypes-8   	 3693768	       308.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_MixedTypes-8   	 3908772	       316.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_MixedTypes-8   	 3969294	       313.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_MixedTypes-8   	 3882644	       308.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_MixedTypes-8   	 3677383	       303.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeParamsOptimal_MixedTypes-8   	 3939174	       311.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt32-8                 	17898319	        64.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt32-8                 	18252949	        65.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt32-8                 	19102864	        65.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt32-8                 	17815942	        65.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt32-8                 	18270706	        65.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt32-8                 	19193857	        65.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt32-8                 	19213186	        65.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt32-8                 	19503188	        64.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt32-8                 	18405358	        66.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt32-8                 	18640110	        64.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	18545133	        63.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	18499960	        64.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	17505776	        64.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	17263006	        63.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	19459196	        64.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	18698374	        58.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	19236502	        63.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	19207682	        64.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	19661236	        63.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	19290464	        64.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeRow_5Cols-8                  	 1251853	       945.2 ns/op	      72 B/op	       5 allocs/op
